text,label
The roads are excellent,positive
Roads are excellent,positive
Roads are really excellent,positive
The roads are good,positive
Roads are good,positive
Roads are really good,positive
The roads are great,positive
Roads are great,positive
Roads are really great,positive
The roads are fantastic,positive
Roads are fantastic,positive
I'm happy with the roads they are fantastic,positive
The roads are amazing,positive
Roads are amazing,positive
Roads are really amazing,positive
The roads are wonderful,positive
Roads are wonderful,positive
Roads are very wonderful,positive
The roads are superb,positive
Roads are superb,positive
Roads are really superb,positive
The roads are outstanding,positive
Roads are outstanding,positive
The roads look outstanding,positive
The roads are brilliant,positive
Roads are brilliant,positive
Roads are very brilliant,positive
The roads are beautiful,positive
Roads are beautiful,positive
Roads are really beautiful,positive
The roads are perfect,positive
Roads are perfect,positive
I'm happy with the roads they are perfect,positive
The roads are awesome,positive
Roads are awesome,positive
Roads are very awesome,positive
The roads are impressive,positive
Roads are impressive,positive
Roads are really impressive,positive
The roads are remarkable,positive
Roads are remarkable,positive
The roads look remarkable,positive
The roads are splendid,positive
Roads are splendid,positive
Roads are very splendid,positive
The roads are fabulous,positive
Roads are fabulous,positive
Roads have become fabulous,positive
The roads are marvelous,positive
Roads are marvelous,positive
Roads are really marvelous,positive
The roads are nice,positive
Roads are nice,positive
Roads are very nice,positive
The roads are fine,positive
Roads are fine,positive
The roads look fine,positive
The roads are decent,positive
Roads are decent,positive
Roads are really decent,positive
The roads are satisfactory,positive
Roads are satisfactory,positive
Roads are very satisfactory,positive
The roads are pleasant,positive
Roads are pleasant,positive
Roads have become pleasant,positive
The roads are lovely,positive
Roads are lovely,positive
Roads are really lovely,positive
The roads are terrible,negative
Roads are terrible,negative
Roads are really terrible,negative
The roads are bad,negative
Roads are bad,negative
Roads are very bad,negative
The roads are awful,negative
Roads are awful,negative
Roads are really awful,negative
The roads are horrible,negative
Roads are horrible,negative
The roads look horrible,negative
The roads are pathetic,negative
Roads are pathetic,negative
Roads are very pathetic,negative
The roads are disgusting,negative
Roads are disgusting,negative
